name,normal,shiny
Nidoqueen,https://archives.bulbagarden.net/media/upload/thumb/b/bf/031Nidoqueen.png/600px-031Nidoqueen.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhyc72-2eaa65dc-6089-406f-8ac4-015498f4b4c9.png
NidoranM,https://archives.bulbagarden.net/media/upload/thumb/4/4a/032Nidoran.png/600px-032Nidoran.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhyc96-6575664b-aaf7-4937-8cce-bc5d35eff0c3.png
Nidorino,https://archives.bulbagarden.net/media/upload/thumb/9/9f/033Nidorino.png/600px-033Nidorino.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhycc2-b42f3d44-69a5-4ea5-848a-639856cf236c.png
Nidoking,https://archives.bulbagarden.net/media/upload/thumb/c/c6/034Nidoking.png/600px-034Nidoking.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhycf3-30f735eb-2494-4964-857e-8e52e62fac14.png
Clefairy,https://archives.bulbagarden.net/media/upload/thumb/f/f4/035Clefairy.png/600px-035Clefairy.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3gg4-bf16a5e2-4ca5-42b4-ab71-8476f135ccbf.png
Clefable,https://archives.bulbagarden.net/media/upload/thumb/a/a9/036Clefable.png/600px-036Clefable.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3gob-4e1cf209-9982-46fa-805a-564d6fa5fbfd.png
Alolan Vulpix,https://archives.bulbagarden.net/media/upload/thumb/3/35/037Vulpix-Alola.png/600px-037Vulpix-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0yqe-e2700656-d2ae-40bd-8a38-ccbc9ea43ccd.png/v1/fill/w_894",h_894",strp/_037_vulpix_by_tonofdirt726_ddo0yqe-pre.png
Vulpix,https://archives.bulbagarden.net/media/upload/thumb/6/60/037Vulpix.png/600px-037Vulpix.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3gs2-994ea908-c0fb-4c6a-a416-80a1de452af7.png
Ninetales,https://archives.bulbagarden.net/media/upload/thumb/0/05/038Ninetales.png/600px-038Ninetales.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3gyv-d36c223d-f760-4412-b586-231a0d2734f8.png
Alolan Ninetales,https://archives.bulbagarden.net/media/upload/thumb/2/26/038Ninetales-Alola.png/600px-038Ninetales-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0yto-a8efca0f-cada-47db-9528-66e4221a6571.png/v1/fill/w_894",h_894",strp/_038_ninetales_by_tonofdirt726_ddo0yto-pre.png
Jigglypuff,https://archives.bulbagarden.net/media/upload/thumb/3/3e/039Jigglypuff.png/600px-039Jigglypuff.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3h22-45387695-bf4f-4917-8eed-c338929d8a74.png
Wigglytuff,https://archives.bulbagarden.net/media/upload/thumb/9/92/040Wigglytuff.png/600px-040Wigglytuff.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3h4g-77c84441-ee77-4a02-bd32-eb3bac2c7c25.png
Zubat,https://archives.bulbagarden.net/media/upload/thumb/d/da/041Zubat.png/600px-041Zubat.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3ha4-e5a51ab3-a181-4420-8fe6-f6c306baf344.png
Golbat,https://archives.bulbagarden.net/media/upload/thumb/0/0c/042Golbat.png/600px-042Golbat.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3hdt-92a7affa-da3a-4d15-9985-c6216ba60766.png
Oddish,https://archives.bulbagarden.net/media/upload/thumb/4/43/043Oddish.png/600px-043Oddish.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3hgm-d313f339-4ac8-45be-835c-c33b4f55fb2f.png
Gloom,https://archives.bulbagarden.net/media/upload/thumb/2/2a/044Gloom.png/600px-044Gloom.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3hjm-1bf566af-1c20-4f04-839d-bb9a54a586ba.png
Vileplume,https://archives.bulbagarden.net/media/upload/thumb/6/6a/045Vileplume.png/600px-045Vileplume.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3hn4-3cae09cf-0b72-4a26-962c-1d1ad10a5e54.png
Paras,https://archives.bulbagarden.net/media/upload/thumb/d/d4/046Paras.png/600px-046Paras.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3hra-23f1fb1a-4e6f-4ad1-b55b-c18ad414525c.png
Parasect,https://archives.bulbagarden.net/media/upload/thumb/8/80/047Parasect.png/600px-047Parasect.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3htj-e2b641d3-bd3b-415d-8e2c-a81de562e1f9.png
Venonat,https://archives.bulbagarden.net/media/upload/thumb/a/ad/048Venonat.png/600px-048Venonat.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3hxt-40569283-ca32-4239-a86c-d8f565f68513.png
Venomoth,https://archives.bulbagarden.net/media/upload/thumb/d/d3/049Venomoth.png/600px-049Venomoth.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3i0t-b36fa10e-676c-4d5d-ba3e-a687f4be5cec.png
Diglett,https://archives.bulbagarden.net/media/upload/thumb/3/31/050Diglett.png/600px-050Diglett.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3i3l-9b673233-32c9-4726-a2a2-d204f1b01243.png
Alolan Diglett,https://archives.bulbagarden.net/media/upload/thumb/1/10/050Diglett-Alola.png/600px-050Diglett-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0ywa-04a65b7b-9a04-4e09-b9e1-d23b3f9d38a8.png/v1/fill/w_894",h_894",strp/_050_diglett_by_tonofdirt726_ddo0ywa-pre.png
Dugtrio,https://archives.bulbagarden.net/media/upload/thumb/e/e5/051Dugtrio.png/600px-051Dugtrio.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3i6d-cdc5dff0-2027-460c-b203-8f4d08ee0133.png
Alolan Dugtrio,https://archives.bulbagarden.net/media/upload/thumb/2/22/051Dugtrio-Alola.png/600px-051Dugtrio-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0yyd-5ce4f3d9-c478-4351-9303-89fa6702626e.png/v1/fill/w_894",h_894",strp/_051_dugtrio_by_tonofdirt726_ddo0yyd-pre.png
Galarian Meowth,https://archives.bulbagarden.net/media/upload/0/09/052Meowth-Galar.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddxth4n-a762103a-2cb3-4e0d-8d47-c70f6caec4bc.png/v1/fill/w_876",h_876",strp/_052_meowth_by_tonofdirt726_ddxth4n-fullview.png
Alolan Meowth,https://archives.bulbagarden.net/media/upload/thumb/e/e3/052Meowth-Alola.png/600px-052Meowth-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0z00-953dcb59-63fa-4dda-b06c-4c31c153a475.png/v1/fill/w_894",h_894",strp/_052_meowth_by_tonofdirt726_ddo0z00-pre.png
Meowth,https://archives.bulbagarden.net/media/upload/thumb/d/d6/052Meowth.png/600px-052Meowth.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3id9-2cccb3bc-3cf1-4520-bcd0-980246a94fb7.png
Persian,https://archives.bulbagarden.net/media/upload/thumb/1/13/053Persian.png/600px-053Persian.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi3ifi-6abce70b-8328-4302-a219-23dd776b7db8.png
Alolan Persian,https://archives.bulbagarden.net/media/upload/thumb/8/80/053Persian-Alola.png/600px-053Persian-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0z1v-d693e3ad-de1c-49cf-85bc-ce2d5178f795.png/v1/fill/w_894",h_894",strp/_053_persian_by_tonofdirt726_ddo0z1v-pre.png
Psyduck,https://archives.bulbagarden.net/media/upload/thumb/5/53/054Psyduck.png/600px-054Psyduck.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8pik-dc482199-dc05-4d4d-aee4-7124e2baa93e.png
Golduck,https://archives.bulbagarden.net/media/upload/thumb/f/fe/055Golduck.png/600px-055Golduck.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8plp-959dbdf9-5a11-453c-8c0a-266e5083abbb.png
Mankey,https://archives.bulbagarden.net/media/upload/thumb/4/41/056Mankey.png/600px-056Mankey.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8ppt-7e5331fc-6f7a-4a46-9e33-32ca55f334dd.png
Primeape,https://archives.bulbagarden.net/media/upload/thumb/9/9a/057Primeape.png/600px-057Primeape.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8ptm-2808781c-8fc7-48ee-a1ab-0805ce987e88.png
Growlithe,https://archives.bulbagarden.net/media/upload/thumb/3/3d/058Growlithe.png/600px-058Growlithe.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8pxs-1855ea4f-4650-46b9-afd0-f972fd0be205.png
Arcanine,https://archives.bulbagarden.net/media/upload/thumb/b/b8/059Arcanine.png/600px-059Arcanine.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8q1c-a0dabefa-02a1-4140-a561-c68060ee1bf4.png
Poliwag,https://archives.bulbagarden.net/media/upload/thumb/4/49/060Poliwag.png/600px-060Poliwag.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8q3r-d2d1d4ec-48c8-44fb-8349-eeeee0688b15.png
Poliwhirl,https://archives.bulbagarden.net/media/upload/thumb/a/a9/061Poliwhirl.png/600px-061Poliwhirl.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8q6h-5f370558-72c5-4e57-ac7b-b01c6bbf5f09.png
Poliwrath,https://archives.bulbagarden.net/media/upload/thumb/2/2d/062Poliwrath.png/600px-062Poliwrath.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8q97-e096e28f-f92e-4a46-8c26-e2aeaa7c7f44.png
Abra,https://archives.bulbagarden.net/media/upload/thumb/6/62/063Abra.png/600px-063Abra.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8qda-a4553456-1086-4368-bab4-0b6e748b7bbf.png
Kadabra,https://archives.bulbagarden.net/media/upload/thumb/9/97/064Kadabra.png/600px-064Kadabra.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8r5z-4a964fbc-6545-4643-86a3-13d893455b2b.png
Alakazam,https://archives.bulbagarden.net/media/upload/thumb/c/cc/065Alakazam.png/600px-065Alakazam.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddnm9vv-47e5dbc2-f961-4665-bbf3-0af33b034000.png/v1/fill/w_894",h_894",strp/_065_alakazam_by_tonofdirt726_ddnm9vv-pre.png
Alakazam,https://archives.bulbagarden.net/media/upload/thumb/c/cc/065Alakazam.png/600px-065Alakazam.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8r9m-d17bc63e-d067-4ecd-92ff-3640e041c8ca.png
Machop,https://archives.bulbagarden.net/media/upload/thumb/8/85/066Machop.png/600px-066Machop.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddi8rf0-a4b4a42b-a258-483b-b9be-cca90eddff8c.png
