name,type,category,power,accuracy,flavor
Vice Grip,Normal,Physical,55,100,"Grips with power­ ful pincers.|Grips the foe with large and powerful pincers.|Huge, impressive pincers grip and squeeze the foe.|Huge, impressive pincers grip and squeeze the foe.  |The target is gripped and squeezed from both sides to inflict damage."
Guillotine,Normal,Physical,0,30,"A one-hit KO, pincer attack.|A powerful pincer attack that may cause fainting.|A vicious tearing attack with pincers. The foe will faint if it hits.|A vicious, tearing attack with pincers. The foe will faint instantly if this attack hits.|A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits.|A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
Razor Wind,Normal,Special,80,100,"1st turn: Prepare 2nd turn: Attack|A 2-turn move that strikes the foe on the 2nd turn.|Blades of wind hit the foe on the 2nd turn. It has a high critical-hit ratio.|A two-turn attack. Blades of wind hit the foe on the second turn. It has a high critical-hit ratio.|A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.|In this two-turn attack, blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Swords Dance,Normal,Status,0,100,A dance that in­ creases ATTACK.|A fighting dance that sharply raises ATTACK.|A frenetic dance of fighting. It sharply raises the ATTACK stat.|A frenetic dance to uplift the fighting spirit. It sharply raises the user’s Attack stat.|A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.
Cut,Normal,Physical,50,95,"Cuts using claws, scythes, etc.|Cuts the foe with sharp scythes, claws, etc.|A basic attack. It can be used to cut down thin trees and grass.|The foe is cut with a scythe or a claw. It can also be used to cut down thin trees.|The target is cut with a scythe or a claw. It can also be used to cut down thin trees.|The target is cut with a scythe or claw. This can also be used to cut down thin trees.|The target is cut with a scythe or claw."
Gust,Flying,Special,40,100,Whips up a strong gust of wind.|Strikes the foe with a gust of wind whipped up by wings.|A gust of wind is whipped up by wings and launched at the foe to inflict damage. |A gust of wind is whipped up by wings and launched at the target to inflict damage.
Wing Attack,Flying,Physical,60,100,"Strikes the target with wings.|Strikes the foe with wings spread wide.|The foe is struck with large, imposing wings spread wide.|The foe is struck with large, imposing wings spread wide to inflict damage. |The target is struck with large, imposing wings spread wide to inflict damage."
Whirlwind,Normal,Status,0,100,"Blows away the foe & ends battle.|Blows away the foe with wind and ends the battle.|The foe is made to switch out with an ally. In the wild, the battle ends.|The foe is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends.|The target is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends.|The target is blown away and switched. In the wild, a battle against a single Pokémon ends.|The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.|The target is blown away, and a different Pokémon is dragged out."
Fly,Flying,Physical,90,95,"1st turn: Fly 2nd turn: Attack|Flies up on the first turn, then strikes the next turn.|A 2-turn move that hits on the 2nd turn. Use it to fly to any known town.|The user soars, then strikes on the second turn. It can also be used for flying to any familiar town.|The user soars, then strikes its target on the second turn. It can also be used for flying to any familiar town.|The user soars and then strikes its target on the next turn. This can also be used to fly to any familiar town.|The user soars and then strikes its target on the next turn.|The user flies up into the sky and then strikes its target on the next turn."
Bind,Normal,Physical,15,85,Binds the target for 2-5 turns.|Binds and squeezes the foe for 2 to 5 turns.|A long body or tentacles are used to bind the foe for two to five turns.|A long body or tentacles are used to bind and squeeze the foe for two to five turns.|Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
Slam,Normal,Physical,80,75,"Slams the foe with a tail, vine, etc.|Slams the foe with a long tail, vine, etc.|The foe is struck with a long tail, vines, etc.|The foe is slammed with a long tail, vines, etc., to inflict damage. |The target is slammed with a long tail, vines, etc., to inflict damage.|The target is slammed with a long tail, vines, or the like to inflict damage."
Vine Whip,Grass,Physical,45,100,"Whips the foe with slender vines.|Strikes the foe with slender, whiplike vines.|The foe is struck with slender, whip­ like vines.|The foe is struck with slender, whiplike vines to inflict damage. |The target is struck with slender, whiplike vines to inflict damage."
Stomp,Normal,Physical,65,100,An attack that may cause flinching.|Stomps the enemy with a big foot. May cause flinching.|The foe is stomped with a big foot. It may make the foe flinch.|The foe is stomped with a big foot. It may also make the target flinch. |The target is stomped with a big foot. It may also make the target flinch.|The target is stomped with a big foot. This may also make the target flinch.
Double Kick,Fighting,Physical,30,100,A double kicking attack.|A double-kicking attack that strikes the foe twice.|Two legs are used to quickly kick the foe twice in one turn.|The foe is quickly kicked twice in succession using both feet. |The target is quickly kicked twice in succession using both feet.
Mega Kick,Normal,Physical,120,75,A powerful kicking attack.|An extremely powerful kick with intense force.|The foe is attacked by a kick fired with muscle-packed power.|The foe is attacked by a kick launched with muscle-packed power. |The target is attacked by a kick launched with muscle-packed power.
Jump Kick,Fighting,Physical,100,95,"May miss, damaging the user.|A strong jumping kick. May miss and hurt the kicker.|The user jumps up high, then kicks. If it misses, the user hurts itself.|The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Rolling Kick,Fighting,Physical,60,85,"A fast, spinning kick.|A fast kick delivered from a rapid spin.|A quick kick from a rolling spin. It may make the foe flinch.|The user cuts a quick spin and lashes out with a sharp kick. |The user lashes  out with a quick, spinning kick. It may also make the target flinch.|The user lashes out with a quick, spinning kick. It may also make the target flinch.|The user lashes out with a quick, spinning kick. This may also make the target flinch.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Sand Attack,Ground,Status,0,100,"Reduces accuracy by throwing sand.|Reduces the foe’s accuracy by hurling sand in its face.|A lot of sand is hurled in the foe’s face, reducing its accuracy.|Sand is hurled in the foe’s face, reducing its accuracy.  |Sand is hurled in the target’s face, reducing its accuracy.|Sand is hurled in the target’s face, reducing the target’s accuracy."
Headbutt,Normal,Physical,70,100,"An attack that may make foe flinch.|A ramming attack that may cause flinching.|The user sticks its head out and rams. It may make the foe flinch.|The user sticks its head out and rams straight forward. It may make the foe flinch.|The user attacks with its head. It may make the foe flinch. To find Pokémon, hit trees.|The user sticks out its head and attacks by charging straight into the target. It may also make the target flinch.|The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch."
Horn Attack,Normal,Physical,65,100,An attack using a horn to jab.|Jabs the foe with sharp horns.|The foe is jabbed with a sharply pointed horn to inflict damage.|The foe is jabbed with a sharply pointed horn to inflict damage. |The target is jabbed with a sharply pointed horn to inflict damage.
Fury Attack,Normal,Physical,15,85,"Jabs the target 2-5 times.|Jabs the foe 2 to 5 times with sharp horns, etc.|The foe is jabbed repeatedly with a horn or beak two to five times.|The foe is jabbed repeatedly with a horn or beak two to five times in a row. |The target is jabbed repeatedly with a horn or beak two to five times in a row."
Horn Drill,Normal,Physical,0,30,"A one-hit KO, drill attack.|A one-hit KO attack that uses a horn like a drill.|The horn is rotated like a drill to ram. The foe will faint if it hits.|The foe is stabbed with a horn rotating like a drill. The foe instantly faints if it hits.|The user stabs the target with a horn that rotates like a drill. If it hits, the target faints instantly.|The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits."
Tackle,Normal,Physical,40,100,"A full-body charge attack.|Charges the foe with a full- body tackle.|A physical attack in which the user charges, full body, into the foe.|A physical attack in which the user charges and slams into the foe with its whole body.|A physical attack in which the user charges and slams into the target with its whole body."
Body Slam,Normal,Physical,85,100,An attack that may cause paralysis.|A full-body slam that may cause paralysis.|The user drops its full body on the foe. It may leave the foe paralyzed.|The user drops onto the foe with its full body weight. It may leave the foe paralyzed.|The user drops onto the target with its full body weight. It may also leave the target with paralysis.|The user drops onto the target with its full body weight. This may also leave the target with paralysis.
Wrap,Normal,Physical,15,90,"Squeezes the foe for 2-5 turns.|Wraps and squeezes the foe 2 to 5 times with vines, etc.|A long body or vines are used to wrap the foe for two to five turns.|A long body or vines are used to wrap and squeeze the foe for two to five turns. |A long body or vines are used to wrap and squeeze the target for four to five turns.|A long body, vines, or the like are used to wrap and  squeeze the target for four to five turns.|A long body, vines, or the like are used to wrap and squeeze the target for four to five turns."
Take Down,Normal,Physical,90,85,"A tackle that also hurts the user.|A reckless charge attack that also hurts the user.|A reckless, full- body charge attack that also hurts the user a little.|A reckless, full-body charge attack for slamming into the foe. It also damages the user a little.|A reckless, full-body charge attack for slamming into the target. It also damages the user a little.|A reckless, full-body charge attack for slamming into the target. This also damages the user a little."
Thrash,Normal,Physical,120,100,"Works 2-3 turns and confuses user.|A rampage of 2 to 3 turns that confuses the user.|The user rampages about for two to three turns, then becomes confused.|The user rampages and attacks for two to three turns. It then becomes confused, however.|The user rampages and attacks for two to three turns. The user then becomes confused."
Double Edge,Normal,Physical,120,100,"A tackle that also hurts the user.|A life-risking tackle that also hurts the user.|A reckless, life- risking tackle that also hurts the user a little.|A reckless, life- risking tackle. It also damages the user by a fairly large amount, however.|A reckless, life-risking tackle. It also damages the user by a fairly large amount, however.|A reckless, life-risking tackle. This also damages the user quite a lot.|A reckless, life-risking tackle in which the user rushes the target. This also damages the user quite a lot."
Tail Whip,Normal,Status,0,100,"Lowers the foe's DEFENSE.|Wags the tail to lower the foe’s DEFENSE.|The user wags its tail cutely, making the foe lower its DEFENSE stat.|The user wags its tail cutely, making the foe less wary. The target’s Defense stat is lowered.|The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stat.|The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stats."
Poison Sting,Poison,Physical,15,100,"An attack that may poison the target.|A toxic attack with barbs, etc., that may poison.|The foe is stabbed with a toxic barb, etc. It may poison the foe.|The foe is stabbed with a poisonous barb of some sort. It may also poison the target.|The user stabs the target with a poisonous stinger. This may also poison the target."
Twineedle,Bug,Physical,25,100,"Jabs the foe twice using stingers.|Stingers on the forelegs jab the foe twice.|The foe is stabbed twice with foreleg stingers. It may poison the foe.|The foe is stabbed twice by a pair of stingers. It may also poison the target.|The user damages the target twice in succession by jabbing it with two spikes. It may also poison the target.|The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Pin Missile,Bug,Physical,25,95,Fires pins that strike 2-5 times.|Sharp pins are fired to strike 2 to 5 times.|Sharp pins are shot at the foe and hit two to five times at once.|Sharp pins are shot at the foe in rapid succession. They hit two to five times in a row.|Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.
Leer,Normal,Status,0,100,Reduces the foe's DEFENSE.|Frightens the foe with a leer to lower DEFENSE.|The foe is given an intimidating look that lowers its DEFENSE stat.|The foe is given an intimidating leer with sharp eyes. The target’s Defense stat is reduced.|The opposing team gains an intimidating leer with sharp eyes. The opposing team’s Defense stats are reduced.|The user gains an intimidating leer with sharp eyes. The opposing team’s Defense stats are reduced.|The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.
Bite,Dark,Physical,60,100,An attack that may cause flinching.|Bites with vicious fangs. May cause flinching.|The user bites with vicious fangs. It may make the foe flinch.|The foe is bitten with viciously sharp fangs. It may make the target flinch. |The target is bitten with viciously sharp fangs. It may make the target flinch.|The target is bitten with viciously sharp fangs. This may also make the target flinch.
Growl,Normal,Status,0,100,"Reduces the foe's ATTACK.|Growls cutely to reduce the foe’s ATTACK.|The user growls in a cute way, making the foe lower its ATTACK stat.|The user growls in an endearing way, making the foe less wary. The target’s Attack stat is lowered.|The user growls in an endearing way, making the opposing team less wary. The foes’ Attack stats are lowered.|The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats.|The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stat."
Roar,Normal,Status,0,100,"Scares wild foes to end battle.|Makes the foe flee to end the battle.|The foe is made to switch out with an ally. In the wild, the battle ends.|The foe is scared off, to be replaced by another Pokémon in its party. In the wild, the battle ends.|The target is scared off and replaced by another Pokémon in its party. In the wild, the battle ends.|The target is scared off and switched. In the wild, a battle against a single Pokémon ends.|The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.|The target is scared off, and a different Pokémon is dragged out."
Sing,Normal,Status,0,55,May cause the foe to fall asleep.|A soothing song lulls the foe into a deep slumber.|A soothing song in a calming voice lulls the foe into a deep slumber.|A soothing lullaby is sung in a calming voice that puts the foe into a deep slumber.|A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.
Supersonic,Normal,Status,0,55,Sound waves that cause confusion.|Emits bizarre sound waves that may confuse the foe.|The user generates odd sound waves. It may confuse the foe.|The user generates odd sound waves from its body. It may confuse the target.|The user generates odd sound waves from its body that confuse the target.
Sonic Boom,Normal,Special,0,90,"Always inflicts 20HP damage.|Launches shock waves that always inflict 20 HP damage.|The foe is hit with a shock wave that always inflicts 20- HP damage.|The foe is hit with a destructive shock wave that always inflicts 20 HP damage. |The target is hit with a destructive shock wave that always inflicts 20 HP damage.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Disable,Normal,Status,0,100,"Disables the foe's most recent move.|Psychically disables one of the foe’s moves.|For a few turns, it prevents the foe from using the move it last used.|For several turns, this move prevents the foe from using the move it last used.|For four turns, this move prevents the target from using the move it last used."
Acid,Poison,Special,40,100,"An attack that may lower DEFENSE.|Sprays a hide-melting acid. May lower DEFENSE.|The foe is sprayed with a harsh, hide- melting acid that may lower DEFENSE.|The foe is attacked with a spray of harsh acid. It may also lower the target’s Sp. Def stat.|The opposing team is attacked with a spray of harsh acid. The acid may also lower the targets’ Sp. Def stats.|The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.|The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat.|Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats."
Ember,Fire,Special,40,100,An attack that may inflict a burn.|A weak fire attack that may inflict a burn.|The foe is attacked with small flames. The foe may suffer a burn.|The foe is attacked with small flames. The target may also be left with a burn. |The target is attacked with small flames. It may also leave the target with a burn.|The target is attacked with small flames. This may also leave the target with a burn.
Flamethrower,Fire,Special,90,100,An attack that may inflict a burn.|A powerful fire attack that may inflict a burn.|The foe is scorched with intense flames. The foe may suffer a burn.|The foe is scorched with an intense blast of fire. The target may also be left with a burn.|The target is scorched with an intense blast of fire. It may also leave the target with a burn.|The target is scorched with an intense blast of fire. This may also leave the target with a burn.
Mist,Ice,Status,0,100,Prevents stat reduction.|Creates a mist that stops reduction of abilities.|The ally party is protected by a mist that prevents stat reductions.|The user cloaks its body with a white mist that prevents any of its stats from being cut for five turns.|The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.
Water Gun,Water,Special,40,100,Squirts water to attack.|Squirts water to attack the foe.|The foe is struck with a lot of water expelled forcibly from the mouth.|The foe is blasted with a forceful shot of water.  |The target is blasted with a forceful shot of water.
Hydro Pump,Water,Special,110,80,A powerful water- type attack.|Blasts water at high power to strike the foe.|A high volume of water is blasted at the foe under great pressure.|The foe is blasted by a huge volume of water launched under great pressure. |The target is blasted by a huge volume of water launched under great pressure.
Surf,Water,Special,90,100,"A strong water- type attack.|Creates a huge wave, then crashes it down on the foe.|A big wave crashes down on the foe. Can also be used for crossing water.|It swamps the entire battlefield with a giant wave. It can also be used for crossing water.|It swamps the area around the user with a giant wave. It can also be used for crossing water.|The user attacks everything around it by swamping its surroundings with a giant wave. This can also be used for crossing water.|The user attacks everything around it by swamping its surroundings with a giant wave."
Ice Beam,Ice,Special,90,100,An attack that may freeze the foe.|Blasts the foe with an icy beam that may freeze it.|The foe is struck with an icy beam. It may freeze the foe solid.|The foe is struck with an icy-cold beam of energy. It may also freeze the target solid.|The target is struck with an icy-cold beam of energy. It may also freeze the target solid.|The target is struck with an icy-cold beam of energy. This may also leave the target frozen.
Blizzard,Ice,Special,110,70,An attack that may freeze the foe.|Hits the foe with an icy storm that may freeze it.|The foe is blasted with a blizzard. It may freeze the foe solid.|A howling blizzard is summoned to strike the foe. It may also freeze the target solid.|A howling blizzard is summoned to strike the opposing team. It may also freeze them solid.|A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.
Psybeam,Psychic,Special,65,100,An attack that may confuse the foe.|Fires a peculiar ray that may confuse the foe.|A peculiar ray is shot at the foe. It may leave the foe confused.|The foe is attacked with a peculiar ray. It may also leave the target confused. |The target is attacked with a peculiar ray. It may also cause confusion.|The target is attacked with a peculiar ray. This may also leave the target confused.
Bubble Beam,Water,Special,65,100,An attack that may lower SPEED.|Forcefully sprays bubbles that may lower SPEED.|A spray of bubbles strikes the foe. It may lower the foe’s SPEED stat.|A spray of bubbles is forcefully ejected at the foe. It may also lower the target’s Speed stat.|A spray of bubbles is forcefully ejected at the opposing team. It may also lower their Speed stats.|A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat.|A spray of bubbles is forcefully ejected at the target. This may also lower the target’s Speed stat.
Aurora Beam,Ice,Special,65,100,An attack that may lower ATTACK.|Fires a rainbow-colored beam that may lower ATTACK.|A rainbow-colored attack beam. It may lower the foe’s ATTACK stat.|The foe is hit with a rainbow-colored beam. It may also lower the target’s Attack stat.|The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.
Hyper Beam,Normal,Special,150,90,"1st turn: Attack 2nd turn: Rest|Powerful, but leaves the user immobile the next turn.|A severely damaging attack that makes the user rest on the next turn.|The foe is attacked with a powerful beam. The user must rest on the next turn to regain its energy.|The target is attacked with a powerful beam. The user must rest on the next turn to regain its energy.|The target is attacked with a powerful beam. The user can’t move on the next turn."
Peck,Flying,Physical,35,100,"Jabs the foe with a beak, etc.|Attacks the foe with a jabbing beak, etc.|The foe is jabbed with a sharply pointed beak or horn.|The foe is jabbed with a sharply pointed beak or horn. |The target is jabbed with a sharply pointed beak or horn."
Drill Peck,Flying,Physical,80,100,"A strong, spin­ ning-peck attack.|A corkscrewing attack with the beak acting as a drill.|A corkscrewing attack with the sharp beak acting as a drill.|A corkscrewing attack with the sharp beak acting as a drill. |A corkscrewing attack with a sharp beak acting as a drill.|A corkscrewing attack that strikes the target with a sharp beak acting as a drill."
Submission,Fighting,Physical,80,80,"An attack that al­ so hurts the user.|A reckless body slam that also hurts the user.|A reckless, full- body throw attack that also hurts the user a little.|The user grabs the foe and recklessly dives for the ground. It also hurts the user slightly.|The user grabs the target and recklessly dives for the ground. It also hurts the user slightly.|The user grabs the target and recklessly dives for the ground. This also damages the user a little."
Low Kick,Fighting,Physical,0,100,"An attack that may cause flinching.|A kick that inflicts more damage on heavier foes.|A low, tripping kick that inflicts more damage on heavier foes.|A powerful low kick that makes the foe fall over. It inflicts greater damage on heavier foes.|A powerful low kick that makes the target fall over. It inflicts greater damage on heavier targets.|A powerful low kick that makes the target fall over. The heavier the target, the greater the move’s power."
Counter,Fighting,Physical,0,100,"Returns a physical blow double.|Retaliates any physical hit with double the power.|A retaliation move that counters any physical hit with double the damage.|A retaliation move that counters any physical attack, inflicting double the damage taken."
Seismic Toss,Fighting,Physical,0,100,The user's level equals damage HP.|Inflicts damage identical to the user’s level.|A gravity-fed throw that causes damage matching the user’s level.|The foe is thrown using the power of gravity. It inflicts damage equal to the user’s level.|The target is thrown using the power of gravity. It inflicts damage equal to the user’s level.
Strength,Normal,Physical,80,100,"A powerful physi­ cal attack.|Builds enormous power, then slams the foe.|The foe is slugged at maximum power. Can also be used to move boulders.|The foe is slugged with a punch thrown at maximum power. It can also be used to move boulders.|The target is slugged with a punch thrown at maximum power. It can also be used to move heavy boulders.|The target is slugged with a punch thrown at maximum power. This can also be used to move heavy boulders.|The target is slugged with a punch thrown at maximum power."
Absorb,Grass,Special,20,100,Steals 1/2 of the damage inflicted.|An attack that absorbs half the damage inflicted.|An attack that absorbs half the damage it inflicted to restore HP.|A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Mega Drain,Grass,Special,40,100,Steals 1/2 of the damage inflicted.|An attack that absorbs half the damage inflicted.|A tough attack that drains half the damage it inflicted to restore HP.|A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Leech Seed,Grass,Status,0,90,Steals HP from the foe on every turn.|Plants a seed on the foe to steal HP on every turn.|A seed is planted on the foe to steal some HP for the  user on every turn.|A seed is planted on the foe. It steals some HP from the foe to heal the user on every turn.|A seed is planted on the target. It steals some HP from the target every turn.
Growth,Normal,Status,0,100,"Raises the SPCL. ATK rating.|Forces the body to grow and heightens SP. ATK.|The user’s body is forced to grow, raising the SP. ATK stat.|The user’s body is forced to grow all at once. It raises the Sp. Atk stat. |The user’s body grows all at once, raising the Attack and Sp. Atk stats."
Razor Leaf,Grass,Physical,55,95,Has a high criti­ cal hit ratio.|Cuts the enemy with leaves. High critical-hit ratio.|The foe is hit with a cutting leaf. It has a high critical-hit ratio.|A sharp-edged leaf is launched to slash at the foe. It has a high critical-hit ratio.|Sharp-edged leaves are launched to slash at the foe. It has a high critical-hit ratio.|Sharp-edged leaves are launched to slash at the opposing team. Critical hits land more easily.|Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily.|Sharp-edged leaves are launched to slash at opposing Pokémon. Critical hits land more easily.
Solar Beam,Grass,Special,120,100,"1st turn: Prepare 2nd turn: Attack|Absorbs light in one turn, then attacks next turn.|A 2-turn move that blasts the foe with absorbed energy in the 2nd turn.|A two-turn attack. The user gathers light, then blasts a bundled beam on the second turn.|A two-turn attack. The user gathers light, then blasts a bundled beam on the next turn.|In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn."
Poison Powder,Poison,Status,0,75,A move that may poison the foe.|Scatters a toxic powder that may poison the foe.|A cloud of toxic dust is scattered. It may poison the foe.|A cloud of poisonous dust is scattered on the foe. It may poison the target.|The user scatters a cloud of poisonous dust on the target. It may poison the target.|The user scatters a cloud of poisonous dust on the target. This may also poison the target.|The user scatters a cloud of poisonous dust that poisons the target.
Stun Spore,Grass,Status,0,75,A move that may paralyze the foe.|Scatters a powder that may paralyze the foe.|Paralyzing dust is scattered wildly. It may paralyze the foe.|The user scatters a cloud of paralyzing powder. It may paralyze the target.|The user scatters a cloud of paralyzing powder. It may leave the target with paralysis.|The user scatters a cloud of numbing powder that paralyzes the target.
Sleep Powder,Grass,Status,0,75,May cause the foe to fall asleep.|Scatters a powder that may cause the foe to sleep.|A sleep-inducing dust is scattered in high volume around a foe.|The user scatters a big cloud of sleep- inducing dust around the foe. |The user scatters a big cloud of sleep-inducing dust around the target.
Petal Dance,Grass,Special,120,100,"Works 2-3 turns and confuses user.|A rampage of 2 to 3 turns that confuses the user.|The user attacks with petals for two to three turns, then gets confused.|The user attacks by scattering petals for two to three turns. The user then becomes confused.|The user attacks the target by scattering petals for two to three turns. The user then becomes confused."
String Shot,Bug,Status,0,95,A move that lowers the foe's SPEED.|Binds the foe with string to reduce its SPEED.|The foe is bound with strings shot from the mouth to reduce its SPEED.|The foe is bound with silk blown from the user’s mouth. It reduces the target’s Speed stat.|The targets are bound with silk blown from the user’s mouth. This silk reduces the targets’ Speed stat.|The opposing Pokémon are bound with silk blown from the user’s mouth that harshly lowers the Speed stat.|Opposing Pokémon are bound with silk blown from the user’s mouth that harshly lowers the Speed stat.
Dragon Rage,Dragon,Special,0,100,"Always inflicts 40HP damage.|Launches shock waves that always inflict 40 HP damage.|The foe is hit with a shock wave that always inflicts 40- HP damage.|The foe is stricken by a shock wave. This attack always inflicts 40 HP damage.|This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Fire Spin,Fire,Special,35,85,Traps foe in fire for 2-5 turns.|Traps the foe in a ring of fire for 2 to 5 turns.|The foe is trapped in an intense spiral of fire that rages two to five turns.|The foe becomes trapped within a fierce vortex of fire that rages for two to five turns.|The target becomes trapped within a fierce vortex of fire that rages for four to five turns.
Thunder Shock,Electric,Special,40,100,An attack that may cause paralysis.|An electrical attack that may paralyze the foe.|An electric shock attack that may also leave the foe paralyzed.|A jolt of electricity is hurled at the foe to inflict damage. It may also leave the foe paralyzed.|A jolt of electricity is hurled at the target to inflict damage. It may also leave the target with paralysis.|A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.
Thunderbolt,Electric,Special,90,100,An attack that may cause paralysis.|A strong electrical attack that may paralyze the foe.|A strong electrical attack that may also leave the foe paralyzed.|A strong electric blast is loosed at the foe. It may also leave the foe paralyzed.|A strong electric blast is loosed at the target. It may also leave the target with paralysis.|A strong electric blast crashes down on the target. This may also leave the target with paralysis.
Thunder Wave,Electric,Status,0,90,A move that may cause paralysis.|A weak jolt of electricity that paralyzes the foe.|A weak electric shock that is sure to cause paralysis if it hits.|A weak electric charge is launched at the foe. It causes paralysis if it hits.|A weak electric charge is launched at the target. It causes paralysis if it hits.|The user launches a weak jolt of electricity that paralyzes the target.
