name,abilities,moves,levels,tms,trs
Wartortle,Torrent-Rain Dish,Tackle-Tail Whip-Water Gun-Withdraw-Rapid Spin-Bite-Water Pulse-Protect-Rain Dance-Aqua Tail-Shell Smash-Iron Defense-Hydro Pump-Skull Bash,1-1-1-1-9-12-15-20-25-30-35-40-45-50,1-6-7-10-13-14-17-18-21-27-31-32-39-42-44-45-48-55-46-74-87-88-90-94-98-100,1-3-4-5-6-16-20-26-27-31-45-46-52-56-62-69-84-85
Mega Blastoise,Mega Launcher,Flash Cannon-Tackle-Tail Whip-Water Gun-Withdraw-Rapid Spin-Bite-Water Pulse-Protect-Rain Dance-Aqua Tail-Shell Smash-Iron Defense-Hydro Pump-Skull Bash,1-1-1-1-1-9-12-15-20-25-30-35-42-49-56,1-5-6-7-10-13-14-15-17-18-21-23-26-27-31-32-39-42-44-45-48-52-55-56-68-74-78-80-82-87-88-90-91-94-97-98-100,1-3-4-5-6-10-16-20-24-26-27-31-32-45-46-52-56-58-62-64-69-70-84-85-98-99
Blastoise,Torrent-Rain Dish,Flash Cannon-Tackle-Tail Whip-Water Gun-Withdraw-Rapid Spin-Bite-Water Pulse-Protect-Rain Dance-Aqua Tail-Shell Smash-Iron Defense-Hydro Pump-Skull Bash,1-1-1-1-1-9-12-15-20-25-30-35-42-49-56,1-5-6-7-10-13-14-15-17-18-21-23-26-27-31-32-39-42-44-45-48-52-55-56-68-74-78-80-82-87-88-90-91-94-97-98-100,1-3-4-5-6-10-16-20-24-26-27-31-32-45-46-52-56-58-62-64-69-70-84-85-98-99
Caterpie,Shield Dust-Run Away,String Shot-Tackle-Bug Bite,1-1-9,,
Metapod,Shed Skin,Harden,1,,46
Butterfree,Compound Eyes-Tinted Lens,Bug Bite-Gust-Harden-String Shot-Tackle-Supersonic-Confusion-Poison Powder-Sleep Powder-Stun Spore-Psybeam-Whirlwind-Air Slash-Safeguard-Bug Buzz-Tailwind-Rage Powder-Quiver Dance,1-1-1-1-1-4-8-12-12-12-16-20-24-28-32-36-40-44,6-9-10-11-15-17-18-19-20-21-22-27-29-30-32-40-42-44-45-46-48-53-62-68-77-83-85-87-88-89-90-100,11-20-26-27-29-33-40-46-61-65-89-96
Weedle,Shield Dust-Run Away,Poison Sting-String Shot-Bug Bite,1-1-9,,
Kakuna,Shed Skin,Harden,1,,
Beedrill,Swarm-Sniper,Fury Attack-Twineedle-Rage-Pursuit-Focus Energy-Venoshock-Assurance-Toxic Spikes-Pin Missile-Poison Jab-Agility-Endeavor-Fell Stinger,1-1-14-17-20-23-26-29-32-35-38-41-44,6-9-10-11-15-17-19-21-22-27-31-32-36-40-42-44-45-46-48-54-59-62-66-68-75-81-83-84-87-88-89-90-100,
Mega Beedrill,Adaptability,Fury Attack-Twineedle-Rage-Pursuit-Focus Energy-Venoshock-Assurance-Toxic Spikes-Pin Missile-Poison Jab-Agility-Endeavor-Fell Stinger,1-1-14-17-20-23-26-29-32-35-38-41-44,6-9-10-11-15-17-19-21-22-27-31-32-36-40-42-44-45-46-48-54-59-62-66-68-75-81-83-84-87-88-89-90-100,
Pidgey,Keen Eye-Tangled Feet-Big Pecks,Tackle-Sand Attack-Gust-Quick Attack-Whirlwind-Twister-Feather Dance-Agility-Wing Attack-Roost-Tailwind-Mirror Move-Air Slash-Hurricane,1-5-9-13-17-21-25-29-33-37-41-45-49-53,1-6-10-11-17-18-19-21-27-32-40-42-44-45-46-48-51-76-87-88-89-90-100,
Pidgeotto,Keen Eye-Tangled Feet-Big Pecks,Gust-Sand Attack-Tackle-Quick Attack-Whirlwind-Twister-Feather Dance-Agility-Wing Attack-Roost-Tailwind-Mirror Move-Air Slash-Hurricane,1-1-1-13-17-22-27-32-37-42-47-52-57-62,1-6-10-11-17-18-19-21-27-32-40-42-44-45-46-48-51-76-87-88-89-90-100,
Pidgeot,Keen Eye-Tangled Feet-Big Pecks,Gust-Quick Attack-Sand Attack-Tackle-Whirlwind-Twister-Feather Dance-Agility-Wing Attack-Roost-Tailwind-Mirror Move-Air Slash-Hurricane,1-1-1-1-17-22-27-32-38-44-50-56-62-68,1-6-10-11-15-17-18-19-21-27-32-40-42-44-45-46-48-51-68-76-87-88-89-90-100,
Mega Pidgeot,No Guard,Gust-Quick Attack-Sand Attack-Tackle-Whirlwind-Twister-Feather Dance-Agility-Wing Attack-Roost-Tailwind-Mirror Move-Air Slash-Hurricane,1-1-1-1-17-22-27-32-38-44-50-56-62-68,1-6-10-11-15-17-18-19-21-27-32-40-42-44-45-46-48-51-68-76-87-88-89-90-100,
Rattata,Run Away-Guts-Hustle,Tackle-Tail Whip-Quick Attack-Focus Energy-Bite-Pursuit-Hyper Fang-Assurance-Crunch-Sucker Punch-Super Fang-Double Edge-Endeavor,1-1-4-7-10-13-16-19-22-25-28-31-34,1-6-10-11-12-13-14-17-18-21-24-25-27-30-32-42-44-45-46-48-57-73-86-87-88-89-90-93-100,
Alolan Rattata,Gluttony-Hustle-Thick Fat,Tackle-Tail Whip-Quick Attack-Focus Energy-Bite-Pursuit-Hyper Fang-Assurance-Crunch-Sucker Punch-Super Fang-Double Edge-Endeavor,1-1-4-7-10-13-16-19-22-25-28-31-34,6-10-11-12-13-14-17-18-21-27-30-32-36-41-42-44-45-46-48-60-63-65-86-87-88-89-90-95-97-100,
Alolan Raticate,Gluttony-Hustle-Thick Fat,Focus Energy-Quick Attack-Scary Face-Swords Dance-Tackle-Tail Whip-Quick Attack-Focus Energy-Bite-Pursuit-Hyper Fang-Assurance-Crunch-Sucker Punch-Super Fang-Double Edge-Endeavor,1-1-1-1-1-1-4-7-10-13-16-19-24-29-34-39-44,5-6-8-9-10-11-12-13-14-15-18-18-21-27-30-32-34-36-41-42-44-45-46-48-60-63-65-68-75-86-87-88-89-90-95-97-100,
Raticate,Run Away-Guts-Hustle,Focus Energy-Quick Attack-Scary Face-Swords Dance-Tackle-Tail Whip-Quick Attack-Focus Energy-Bite-Pursuit-Hyper Fang-Assurance-Crunch-Sucker Punch-Super Fang-Double Edge-Endeavor,1-1-1-1-1-1-4-7-10-13-16-19-24-29-34-39-44,1-5-6-10-11-12-13-14-15-17-18-21-24-25-27-30-32-42-44-45-46-48-57-68-73-75-86-87-88-89-90-93-100,
Spearow,Keen Eye-Sniper,Growl-Peck-Leer-Pursuit-Fury Attack-Aerial Ace-Mirror Move-Assurance-Agility-Focus Energy-Roost-Drill Peck,1-1-4-8-11-15-18-22-25-29-32-36,1-6-10-11-17-18-19-21-27-32-40-42-44-45-46-48-49-51-54-76-87-88-89-90-100,
Fearow,Keen Eye-Sniper,Drill Run-Growl-Leer-Peck-Pluck-Pursuit-Fury Attack-Aerial Ace-Mirror Move-Assurance-Agility-Focus Energy-Roost-Drill Peck-Drill Run,1-1-1-1-1-1-11-15-18-23-27-32-36-41-45,1-6-10-11-15-17-18-19-21-27-32-40-42-44-45-46-48-49-51-54-68-76-87-88-89-90-100,
Ekans,Intimidate-Shed Skin,Leer-Wrap-Poison Sting-Bite-Glare-Screech-Acid-Spit Up-Stockpile-Swallow-Acid Spray-Mud Bomb-Gastro Acid-Belch-Haze-Coil-Gunk Shot,1-1-4-9-12-17-20-25-25-25-28-33-36-38-41-44-49,6-9-10-11-17-18-21-26-27-32-34-36-39-41-42-44-45-46-48-59-66-78-80-83-84-87-88-90-97-100,
Arbok,Intimidate-Shed Skin,Bite-Crunch-Fire Fang-Ice Fang-Leer-Poison Sting-Thunder Fang-Wrap-Glare-Screech-Acid-Spit Up-Stockpile-Swallow-Acid Spray-Mud Bomb-Gastro Acid-Belch-Haze-Coil-Gunk Shot,1-1-1-1-1-1-1-1-12-17-20-27-27-27-32-39-44-48-51-56-63,,
Pikachu,Static-Lightning Rod,Tail Whip-Thunder Shock-Growl-Play Nice-Quick Attack-Electro Ball-Thunder Wave-Feint-Double Team-Spark-Nuzzle-Discharge-Slam-Thunderbolt-Agility-Wild Charge-Light Screen-Thunder,1-1-5-7-10-13-18-21-23-26-29-34-37-42-45-50-53-58,6-10-16-17-18-21-24-25-27-31-32-42-44-45-48-49-56-57-72-73-86-87-88-90-93-100,1-4-8-9-12-20-21-26-27-30-31-35-68-77-80-86-90
Alolan Raichu,Surge Surfer,Psychic-Quick Attack-Speed Swap-Tail Whip-Thunder Shock-Thunderbolt,1-1-1-1-1-1,3-4-6-10-15-16-17-18-20-21-24-25-27-29-31-32-33-42-44-45-46-48-49-52-56-57-68-72-73-86-87-88-90-93-100,1-4-8-9-11-12-20-21-25-26-27-30-31-34-35-49-64-68-77-80-82-83-86-90
Raichu,Static-Lightning Rod,Quick Attack-Tail Whip-Thunder Shock-Thunderbolt,1-1-1-1,6-10-15-16-17-18-21-24-25-27-31-32-42-44-45-46-48-49-52-56-57-68-72-73-86-87-88-90-93-100,1-4-8-9-12-20-21-26-27-30-31-35-64-68-77-80-86-90
Alolan Sandshrew,Snow Cloak-Slush Rush,Defense Curl-Scratch-Bide-Powder Snow-Ice Ball-Rapid Spin-Fury Cutter-Metal Claw-Swift-Fury Swipes-Iron Defense-Slash-Iron Head-Gyro Ball-Swords Dance-Hail-Blizzard,1-1-3-5-7-9-11-14-17-20-23-26-30-34-38-42-46,1-6-7-10-11-14-17-20-21-26-27-28-31-32-40-42-44-45-46-48-56-65-70-74-75-78-79-80-81-84-87-88-90-100,0-1-6-10-17-18-20-26-27-31-46-52-57-60-74-76-85-95
Sandshrew,Sand Veil-Sand Rush,Defense Curl-Scratch-Sand Attack-Poison Sting-Rollout-Rapid Spin-Fury Cutter-Magnitude-Swift-Fury Swipes-Sand Tomb-Slash-Dig-Gyro Ball-Swords Dance-Sandstorm-Earthquake,1-1-3-6-7-9-11-14-17-20-23-26-30-34-38-42-46,6-10-11-17-20-21-26-27-31-32-37-39-40-42-44-45-46-48-56-65-74-75-78-80-81-84-87-88-90-100,0-1-10-12-17-18-20-26-27-31-52-57-60-67-76-85-95
Sandslash,Sand Veil-Sand Rush,Crush Claw-Defense Curl-Poison Sting-Sand Attack-Scratch-Rollout-Rapid Spin-Fury Cutter-Magnitude-Swift-Fury Swipes-Sand Tomb-Slash-Dig-Gyro Ball-Swords Dance-Sandstorm-Earthquake,1-1-1-1-1-7-9-11-14-17-20-24-28-33-38-43-48-53,6-10-11-15-17-20-21-26-27-31-32-37-39-40-42-44-45-46-48-52-56-65-68-71-74-75-78-80-81-84-87-88-90-100,0-1-10-12-17-18-20-23-26-27-31-52-57-60-64-67-75-76-85-87-95
Alolan Sandslash,Snow Cloak-Slush Rush,Defense Curl-Ice Ball-Icicle Crash-Icicle Spear-Metal Burst-Metal Claw-Slash,1-1-1-1-1-1-1,1-6-7-10-11-14-15-17-20-21-26-27-28-31-32-40-42-44-45-46-48-52-56-65-68-70-74-75-78-79-80-81-84-87-88-90-100,0-1-6-10-12-17-18-20-23-26-27-31-46-52-57-60-64-74-76-85-87-95
NidoranF,Poison Point-Rivalry-Hustle,Growl-Scratch-Tail Whip-Double Kick-Poison Sting-Fury Swipes-Bite-Helping Hand-Toxic Spikes-Flatter-Crunch-Captivate-Poison Fang,1-1-7-9-13-19-21-25-31-33-37-43-45,6-9-10-11-13-14-17-18-21-24-25-27-32-36-40-42-44-45-46-48-49-65-84-87-88-90-100,1-5-6-8-9-13-20-22-26-27-31-32-54-57-67-91
Nidorina,Poison Point-Rivalry-Hustle,Growl-Scratch-Tail Whip-Double Kick-Poison Sting-Fury Swipes-Bite-Helping Hand-Toxic Spikes-Flatter-Crunch-Captivate-Poison Fang,1-1-7-9-13-20-23-28-335-38-43-50-58,6-9-10-11-13-14-17-18-21-24-25-27-32-36-40-42-44-45-46-48-49-65-84-87-88-90-100,1-5-6-8-9-13-20-22-26-27-31-32-54-57-67-91
Nidoqueen,Poison Point-Rivalry-Sheer Force,Double Kick-Poison Sting-Scratch-Superpower-Tail Whip-Chip Away-Body Slam-Earth Power,1-1-1-1-1-23-35-43,5-6-9-10-11-12-13-14-15-17-18-21-23-24-25-26-27-30-31-32-34-35-36-37-38-39-40-41-42-44-45-46-48-49-52-56-60-65-68-71-78-70-82-84-87-88-90-94-100,1-2-4-5-6-8-9-10-13-15-20-22-24-26-27-31-32-33-35-37-39-54-57-62-64-67-75-76-78-87-91-94-95-99
NidoranM,Poison Point-Rivalry-Hustle,Leer-Peck-Focus Energy-Double Kick-Poison Sting-Fury Attack-Horn Attack-Helping Hand-Toxic Spikes-Flatter-Poison Jab-Captivate-Horn Drill,1-1-7-9-13-19-21-25-31-33-37-43-45,6-9-10-11-13-14-17-18-21-24-25-27-32-36-42-44-45-46-48-49-65-67-84-87-88-90-100,1-5-6-8-9-13-17-20-22-26-27-31-54-57-67-87-91
Nidorino,Poison Point-Rivalry-Hustle,Leer-Peck-Focus Energy-Double Kick-Poison Sting-Fury Attack-Horn Attack-Helping Hand-Toxic Spikes-Flatter-Poison Jab-Captivate-Horn Drill,1-1-7-9-13-20-23-28-35-38-43-50-58,6-9-10-11-13-14-17-18-21-24-25-27-32-36-42-44-45-46-48-49-65-67-84-87-88-90-100,1-5-6-8-9-13-17-20-22-26-27-31-54-57-67-87-91
Nidoking,Poison Point-Rivalry-Sheer Force,Double Kick-Focus Energy-Megahorn-Peck-Poison Sting-Chip Away-Thrash-Earth Power,1-1-1-1-1-23-35-43,5-6-9-10-11-12-13-14-15-17-18-21-23-24-25-26-27-30-31-32-34-35-36-37-38-39-41-42-44-45-46-48-49-52-56-60-65-67-68-71-78-80-82-84-87-88-90-94-100,1-2-4-5-6-8-9-10-13-15-17-20-22-24-26-27-28-31-33-35-37-39-54-57-62-64-67-75-76-78-87-91-94-95-99
Clefairy,Cute Charm-Magic Guard-Friend Guard,Disarming Voice-Encore-Growl-Pound-Spotlight-Sing-Double Slap-Defense Curl-Follow Me-Bestow-Wake Up Slap-Minimize-Stored Power-Metronome-Cosmic Power-Lucky Chant-Body Slam-Moonlight-Moonblast-Gravity-Meteor Mash-Healing Wish-After You,1-1-1-1-1-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-50-55-58,1-3-4-6-10-11-13-14-16-17-18-20-21-22-24-25-27-29-30-31-32-33-35-38-42-44-45-48-49-56-57-73-77-85-86-87-88-90-99-100,1-2-5-6-8-9-11-14-15-17-19-20-25-26-27-29-30-31-33-35-38-42-44-49-69-76-77-82-83-85-90-92
Clefable,Cute Charm-Magic Guard-Unaware,Disarming Voice-Double Slap-Metronome-Minimize-Sing-Spotlight,1-1-1-1-1-1,1-3-4-6-10-11-13-14-15-16-17-18-20-21-22-24-25-27-29-30-31-32-33-35-38-42-44-45-48-49-52-56-57-68-73-77-85-86-87-88-90-99-100,1-2-5-6-8-9-11-14-15-17-19-20-25-26-27-29-30-31-33-35-38-42-44-49-64-69-76-77-82-83-85-90-92
Alolan Vulpix,Snow Cloak-Snow Warning,Powder Snow-Tail Whip-Baby Doll Eyes-Ice Shard-Confuse Ray-Icy Wind-Payback-Mist-Feint Attack-Hex-Aurora Beam-Extrasensory-Safeguard-Ice Beam-Imprison-Blizzard-Grudge-Captivate-Sheer Cold,1-4-7-9-10-12-15-18-20-23-26-28-31-34-36-39-42-44-47-50,5-6-7-10-13-14-17-18-20-21-27-32-42-44-45-48-66-70-77-79-87-88-90-97-100,1-5-6-12-20-26-27-30-31-58-69-81
Vulpix,Flash Fire-Drought,Ember-Tail Whip-Roar-Baby Doll Eyes-Quick Attack-Confuse Ray-Fire Spin-Payback-Will O Wisp-Feint Attack-Hex-Flame Burst-Extrasensory-Safeguard-Flamethrower-Imprison-Fire Blast-Grudge-Captivate-Inferno,1-4-7-9-10-12-15-18-20-23-26-28-31-34-36-39-42-44-47-50,5-6-10-11-17-20-21-27-32-35-38-42-43-44-45-48-50-53-61-66-77-87-88-90-97-100,1-2-12-15-20-26-27-30-31-36-43-55-58-65-69-81
Ninetales,Flash Fire-Drought,Confuse Ray-Flamethrower-Imprison-Nasty Plot-Quick Attack-Safeguard,1-1-1-1-1-1,3-4-5-6-10-11-15-17-20-21-22-27-32-35-38-42-43-44-45-48-50-53-61-66-68-77-85-87-88-90-97-100,1-2-12-15-20-25-26-27-30-31-33-36-43-49-55-58-65-68-69-81-82
Alolan Ninetales,Snow Cloak-Snow Warning,Confuse Ray-Dazzling Gleam-Ice Beam-Ice Shard-Imprison-Nasty Plot-Safeguard,1-1-1-1-1-1-1,3-4-5-6-7-10-13-14-15-17-18-20-21-27-32-42-44-45-48-66-68-70-77-79-85-87-88-90-97-99-100,1-5-6-12-20-25-26-27-30-31-49-58-68-69-81-82-92
Jigglypuff,Cute Charm-Competitive-Friend Guard,Sing-Defense Curl-Pound-Play Nice-Disarming Voice-Disable-Double Slap-Rollout-Round-Spit Up-Stockpile-Swallow-Wake Up Slap-Rest-Body Slam-Gyro Ball-Mimic-Hyper Voice-Double Edge,1-3-5-9-11-14-17-20-22-25-25-25-27-30-32-35-38-41-45,1-6-10-11-13-14-16-17-18-20-21-22-24-25-27-29-30-31-32-33-35-38-42-44-45-48-49-57-57-73-74-77-85-86-87-88-90-93-99-100,1-2-5-6-8-9-11-15-19-20-26-27-29-33-35-42-52-76-77-83-85-86-90-92
Wigglytuff,Cute Charm-Competitive-Frisk,Defense Curl-Disable-Double Edge-Double Slap-Play Rough-Sing,1-1-1-1-1-1,1-6-10-11-13-14-15-16-17-18-20-21-22-24-25-27-29-30-31-32-33-35-38-42-44-45-48-49-52-56-57-68-73-74-77-85-86-87-88-90-93-99-100,1-2-5-6-8-9-11-15-19-20-26-27-29-33-35-42-52-64-76-83-85-86-90-92
Zubat,Inner Focus-Infiltrator,Absorb-Supersonic-Astonish-Bite-Wing Attack-Confuse Ray-Air Cutter-Swift-Poison Fang-Mean Look-Leech Life-Haze-Venoshock-Air Slash-Quick Guard,1-5-7-11-13-17-19-23-25-29-31-35-37-41-43,6-9-10-11-12-17-18-19-21-27-28-30-32-36-40-41-42-44-45-46-48-51-62-66-76-87-88-89-90-100,12-18-20-22-26-27-32-33-35-36-37-66-68-69-91
Golbat,Inner Focus-Infiltrator,Absorb-Astonish-Bite-Screech-Supersonic-Wing Attack-Confuse Ray-Air Cutter-Swift-Poison Fang-Mean Look-Leech Life-Haze-Venoshock-Air Slash-Quick Guard,1-1-1-1-1-13-17-19-24-27-32-35-40-43-48-51,6-9-10-11-12-15-17-18-19-21-27-28-30-32-36-40-41-42-44-45-46-48-51-62-66-68-76-87-88-89-90-100,12-18-20-22-26-27-32-33-35-36-37-66-68-69-91
Oddish,Chlorophyll-Run Away,Absorb-Growth-Sweet Scent-Acid-Poison Powder-Stun Spore-Sleep Powder-Mega Drain-Lucky Chant-Moonlight-Giga Drain-Toxic-Natural Gift-Moonblast-Grassy Terrain-Petal Dance,1-1-5-9-13-14-15-19-23-27-31-35-39-43-47-51,6-9-10-11-17-21-22-27-32-36-42-44-45-48-53-75-83-86-87-88-90-96-99-100,0-20-22-26-27-59-65-77-92
Gloom,Chlorophyll-Stench,Absorb-Acid-Growth-Sweet Scent-Poison Powder-Stun Spore-Sleep Powder-Mega Drain-Lucky Chant-Moonlight-Giga Drain-Toxic-Natural Gift-Petal Blizzard-Grassy Terrain-Petal Dance,1-1-1-1-13-14-15-19-24-29-34-39-44-49-54-59,6-9-10-11-17-21-22-27-32-36-42-44-45-48-53-56-75-83-86-87-88-90-96-99-100,0-20-22-26-27-59-65-77-92
Vileplume,Chlorophyll-Effect Spore,Aromatherapy-Mega Drain-Poison Powder-Stun Spore-Petal Blizzard-Petal Dance-Solar Beam,1-1-1-1-49-59-69,6-9-10-11-15-17-20-21-22-27-32-36-42-44-45-48-53-56-68-75-83-86-87-88-90-96-99-100,0-1-20-22-26-27-59-65-77-78-92-96
Paras,Effect Spore-Dry Skin-Damp,Scratch-Poison Powder-Stun Spore-Absorb-Fury Cutter-Spore-Slash-Growth-Giga Drain-Aromatherapy-Rage Powder-X Scissor,1-6-6-11-17-22-27-33-38-43-49-54,6-9-10-11-16-17-21-22-27-28-31-32-36-40-42-44-45-46-48-53-54-75-81-86-87-88-90-86-100,
Parasect,Effect Spore-Dry Skin-Damp,Absorb-Cross Poison-Poison Powder-Scratch-Stun Spore-Fury Cutter-Spore-Slash-Growth-Giga Drain-Aromatherapy-Rage Powder-X Scissor,1-1-1-1-1-17-22-29-37-44-51-59-66,6-9-10-11-15-16-17-21-22-27-28-31-32-36-40-42-44-45-46-48-53-54-68-75-81-86-87-88-90-96-100,
Venonat,Compound Eyes-Tinted Lens-Run Away,Disable-Foresight-Tackle-Supersonic-Confusion-Poison Powder-Psybeam-Stun Spore-Signal Beam-Sleep Powder-Leech Life-Zen Headbutt-Poison Fang-Psychic,1-1-1-5-11-13-17-23-25-29-35-37-41-47,6-9-10-11-17-21-22-27-28-29-32-36-42-44-45-46-48-83-87-88-90-100,
Venomoth,Shield Dust-Tinted Lens-Wonder Skin,Bug Buzz-Disable-Foresight-Gust-Quiver Dance-Silver Wind-Supersonic-Tackle-Confusion-Poison Powder-Psybeam-Stun Spore-Signal Beam-Sleep Powder-Leech Life-Zen Headbutt-Poison Fang-Psychic,1-1-1-1-1-1-1-1-11-13-17-23-25-29-37-41-47-55,6-9-10-11-15-17-19-21-22-27-28-29-32-36-40-42-44-45-46-48-53-62-68-83-87-88-89-90-100,
Diglett,Sand Veil-Arena Trap-Sand Force,Sand Attack-Scratch-Growl-Astonish-Mud Slap-Magnitude-Bulldoze-Sucker Punch-Mud Bomb-Earth Power-Dig-Slash-Earthquake-Fissure,1-1-4-7-10-14-18-22-25-28-31-35-39-43,5-10-11-17-21-26-27-32-36-37-39-40-42-44-46-46-48-49-65-78-80-87-88-90-100,1-10-12-20-21-22-26-27-35-67-76-83-85
Alolan Diglett,Sand Veil-Tangling Hair-Sand Force,Metal Claw-Sand Attack-Growl-Astonish-Mud Slap-Magnitude-Bulldoze-Sucker Punch-Mud Bomb-Earth Power-Dig-Iron Head-Earthquake-Fissure,1-1-4-7-10-14-18-22-25-28-31-35-39-43,1-6-10-11-17-21-26-27-32-36-37-39-40-42-44-45-46-48-49-65-78-80-87-88-90-91-100,1-10-12-20-21-22-26-27-35-46-67-70-74-83-85
Dugtrio,Sand Veil-Arena Trap-Sand Force,Growl-Night Slash-Rototiller-Sand Attack-Sand Tomb-Scratch-Tri Attack-Astonish-Mud Slap-Magnitude-Bulldoze-Sucker Punch-Mud Bomb-Earth Power-Dig-Slash-Earthquake-Fissure,1-1-1-1-1-1-1-7-10-14-18-22-25-30-35-41-47-53,6-10-11-15-17-21-26-27-32-34-36-37-39-40-42-44-45-46-48-49-65-68-71-78-80-87-88-90-100,1-10-12-19-20-21-22-26-27-35-67-75-76-78-83-85-94
