name,forms,megas
Croagunk,,
Toxicroak,,
Carnivine,,
Finneon,,
Lumineon,,
Mantyke,,
Snover,,
Abomasnow,,Mega Abomasnow
Mega Abomasnow,,
Weavile,,
Magnezone,,
Lickilicky,,
Rhyperior,,
Tangrowth,,
Electivire,,
Magmortar,,
Togekiss,,
Yanmega,,
Leafeon,,
Glaceon,,
Gliscor,,
Mamoswine,,
Porygonz,,
Mega Gallade,,
Gallade,,Mega Gallade
Probopass,,
Dusknoir,,
Froslass,,
Rotom,,
Uxie,,
Mesprit,,
Azelf,,
Dialga,,
Palkia,,
Heatran,,
Regigigas,,
Origin Giratina,Giratina,
Giratina,Origin Giratina,
Cresselia,,
Phione,,
Manaphy,,
Darkrai,,
Shaymin Sky,Shaymin,
Shaymin,Shaymin Sky,
Arceus,,
Victini,,
Snivy,,
Servine,,
Serperior,,
Tepig,,
Pignite,,
Emboar,,
Oshawott,,
Dewott,,
Samurott,,
Patrat,,
Watchog,,
Lillipup,,
Herdier,,
Stoutland,,
Purrloin,,
Liepard,,
Pansage,,
Simisage,,
Pansear,,
Simisear,,
Panpour,,
Simipour,,
Munna,,
Musharna,,
Pidove,,
Tranquill,,
Unfezant,,
Blitzle,,
Zebstrika,,
Roggenrola,,
Boldore,,
Gigalith,,
Woobat,,
Swoobat,,
Drilbur,,
Excadrill,,
Audino,,Mega Audino
Mega Audino,,
Timburr,,
Gurdurr,,
Conkeldurr,,
Tympole,,
Palpitoad,,
Seismitoad,,
Throh,,
Sawk,,
Sewaddle,,
Swadloon,,
Leavanny,,
Venipede,,
Whirlipede,,
Scolipede,,
Cottonee,,
Whimsicott,,
Petilil,,
Lilligant,,
Basculin,,
Sandile,,
Krokorok,,
Krookodile,,
Darumaka,Galarian Darumaka,
Galarian Darumaka,Darumaka,
Galarian Darmanitan,Darmanitan,
Darmanitan,Galarian Darmanitan,
Maractus,,
Dwebble,,
Crustle,,
Scraggy,,
Scrafty,,
Sigilyph,,
Galarian Yamask,Yamask,
Yamask,Galarian Yamask,
Cofagrigus,,
Tirtouga,,
Carracosta,,
Archen,,
Archeops,,
Trubbish,,
Garbodor,,
Zorua,,
Zoroark,,
Minccino,,
Cinccino,,
Gothita,,
Gothorita,,
Gothitelle,,
Solosis,,
Duosion,,
Reuniclus,,
Ducklett,,
Swanna,,
Vanillite,,
Vanillish,,
Vanilluxe,,
Deerling,,
Sawsbuck,,
Emolga,,
Karrablast,,
Escavalier,,
Foongus,,
Amoonguss,,
Frillish,,
Jellicent,,
Alomomola,,
Joltik,,
Galvantula,,
Ferroseed,,
Ferrothorn,,
Klink,,
Klang,,
Klinklang,,
Tynamo,,
Eelektrik,,
Eelektross,,
Elgyem,,
Beheeyem,,
Litwick,,
Lampent,,
Chandelure,,
Axew,,
Fraxure,,
Haxorus,,
Cubchoo,,
Beartic,,
Cryogonal,,
Shelmet,,
Accelgor,,
Galarian Stunfisk,Stunfisk,
Stunfisk,Galarian Stunfisk,
Mienfoo,,
Mienshao,,
Druddigon,,
Golett,,
Golurk,,
Pawniard,,
Bisharp,,
Bouffalant,,
Rufflet,,
Braviary,,
Vullaby,,
Mandibuzz,,
Heatmor,,
Durant,,
Deino,,
Zweilous,,
Hydreigon,,
Larvesta,,
Volcarona,,
Cobalion,,
Terrakion,,
Virizion,,
Tornadus Therian,Tornadus,
Tornadus,Tornadus Therian,
Thundurus Therian,Thundurus,
Thundurus,Thundurus Therian,
Reshiram,,
Zekrom,,
Landorus,Landorus Therian,
Landorus Therian,Landorus,
Black Kyurem,Kyurem-White Kyurem,
Kyurem,Black Kyurem-White Kyurem,
White Kyurem,Kyurem-Black Kyurem,
Keldeo,,
Meloetta Pirouette,Meloetta,
Meloetta,Meloetta Pirouette,
Genesect,,
Chespin,,
Quilladin,,
Chesnaught,,
Fennekin,,
Braixen,,
Delphox,,
Froakie,,
Frogadier,,
Greninja,Ash Greninja,
Ash Greninja,Greninja,
Bunnelby,,
Diggersby,,
Fletchling,,
Fletchinder,,
Talonflame,,
Scatterbug,,
Spewpa,,
Vivillon,,
Litleo,,
Pyroar,,
Flabebe,,
Floette,,
Florges,,
Skiddo,,
Gogoat,,
Pancham,,
Pangoro,,
Furfrou,,
Espurr,,
Meowstic,,
Honedge,,
Doublade,,
Aegislash,Aegislash Blade,
Aegislash Blade,Aegislash,
Spritzee,,
Aromatisse,,
Swirlix,,
Slurpuff,,
Inkay,,
Malamar,,
Binacle,,
Barbaracle,,
Skrelp,,
Dragalge,,
Clauncher,,
Clawitzer,,
Helioptile,,
Heliolisk,,
Tyrunt,,
Tyrantrum,,
Amaura,,
Aurorus,,
Sylveon,,
Hawlucha,,
Dedenne,,
Carbink,,
Goomy,,
Sliggoo,,
Goodra,,
Klefki,,
Phantump,,
Trevenant,,
Pumpkaboo,,
Gourgeist,,
Bergmite,,
Avalugg,,
Noibat,,
Noivern,,
Xerneas,,
Yveltal,,
Zygarde Complete,Zygarde-Zygarde 10,
Zygarde 10,Zygarde-Zygarde Complete,
Zygarde,Zygarde 10-Zygarde Complete,
Mega Diancie,,
Diancie,,Mega Diancie
Hoopa,Hoopa Unbound,
Hoopa Unbound,Hoopa,
Volcanion,,
Rowlet,,
Dartrix,,
Decidueye,,
Litten,,
Torracat,,
Incineroar,,
Popplio,,
Brionne,,
Primarina,,
Pikipek,,
Trumbeak,,
Toucannon,,
Yungoos,,
Gumshoos,,
Grubbin,,
Charjabug,,
Vikavolt,,
Crabrawler,,
Crabominable,,
Oricorio,,
Cutiefly,,
Ribombee,,
Rockruff,,
Lycanroc Midnight,Lycanroc-Lycanroc Dusk,
Lycanroc Dusk,Lycanroc-Lycanroc Midnight,
Lycanroc,Lycanroc Midnight-Lycanroc Dusk,
Wishiwashi,Wishiwashi School,
Wishiwashi School,Wishiwashi,
Mareanie,,
Toxapex,,
Mudbray,,
Mudsdale,,
Dewpider,,
Araquanid,,
Fomantis,,
Lurantis,,
Morelull,,
Shiinotic,,
Salandit,,
Salazzle,,
Stufful,,
Bewear,,
Bounsweet,,
Steenee,,
Tsareena,,
Comfey,,
Oranguru,,
Passimian,,
Wimpod,,
Golisopod,,
Sandygast,,
Palossand,,
Pyukumuku,,
Type Null,,
Silvally,,
Minior Core,Minior,
Minior,Minior Core,
Komala,,
Turtonator,,
Togedemaru,,
Mimikyu,,
Bruxish,,
Drampa,,
Dhelmise,,
Jangmo O,,
Hakamo O,,
Kommo O,,
Tapu Koko,,
Tapu Lele,,
Tapu Bulu,,
Tapu Fini,,
Cosmog,,
Cosmoem,,
Solgaleo,,
Lunala,,
Nihilego,,
Buzzwole,,
Pheromosa,,
Xurkitree,,
Celesteela,,
Kartana,,
Guzzlord,,
Dawn Wings Necrozma,Dusk Mane Necrozma-Necrozma-Ultra Necrozma,
Dusk Mane Necrozma,Necrozma-Dawn Wings Necrozma-Ultra Necrozma,
Necrozma,Dusk Mane Necrozma-Dawn Wings Necrozma-Ultra Necrozma,
Ultra Necrozma,Dusk Mane Necrozma-Dawn Wings Necrozma-Necrozma,
Magearna,,
Marshadow,,
Poipole,,
Naganadel,,
Stakataka,,
Blacephalon,,
Zeraora,,
Meltan,,
Melmetal,,
Zacian,,
Zamazenta,,
Eternamax Eternatus,,
Eternatus,Eternatus,
Regieleki,,
Regidrago,,
Grookey,,
Thwackey,,
Rillaboom,,
Scorbunny,,
Raboot,,
Cinderace,,
Sobble,,
Drizzile,,
Inteleon,,
Skwovet,,
Greedent,,
Rookidee,,
Corvisquire,,
Corviknight,,
Blipbug,,
Dottler,,
Orbeetle,,
Nickit,,
Thievul,,
Gossifleur,,
Eldegoss,,
Wooloo,,
Dubwool,,
Chewtle,,
Drednaw,,
Yamper,,
Boltund,,
Rolycoly,,
Carkol,,
Coalossal,,
Applin,,
Flapple,,
Appletun,,
Silicobra,,
Sandaconda,,
Cramorant,,
Arrokuda,,
Barraskewda,,
Toxel,,
Toxtricity Low Key,Toxtricity Amped,
Toxtricity Amped,Toxtricity Low Key,
Sizzlipede,,
Centiskorch,,
Clobbopus,,
Grapploct,,
Sinistea,,
Polteageist,,
Hatenna,,
Hattrem,,
Hatterene,,
Impidimp,,
Morgrem,,
Grimmsnarl,,
Obstagoon,,
Perrserker,,
Cursola,,
Sirfetchd,,
Mr Rime,,
Runerigus,,
Milcery,,
Alcremie,,
Falinks,,
Pincurchin,,
Snom,,
Frosmoth,,
Stonjourner,,
Eiscue,,
Indeedee,,
Morpeko,,
Cufant,,
Copperajah,,
Dracozolt,,
Arctozolt,,
Dracovish,,
Arctovish,,
Duraludon,,
Dreepy,,
Drakloak,,
Dragapult,,
Kubfu,,
Urshifu,Urshifu Rapid Strike,
Urshifu Rapid Strike,Urshifu,
Zarude,,
Glastrier,,
Spectrier,,
Calyrex,Ice Rider Calyrex-Shadow Rider Calyrex,
Shadow Rider Calyrex,Calyrex-Ice Rider Calyrex,
Ice Rider Calyrex,Calyrex-Shadow Rider Calyrex,
Wyrdeer,,
